name lat lon
Haikou 19.808054 110.302734
Haerbin 45.675482 126.738281
Wulumuqi 43.675818 87.670898
Shenyang 41.442726 123.793945
Changchun 43.644025 125.332031
Beijing 39.904987 116.405289
Tianjin 39.010647 117.246093
Huhehaote 40.84149 111.75199
Yinchuan 38.48644 106.23248
Taiyuan 37.857014 112.549248
Shijiazhaung 38.045475 114.502464
Jinan 36.675808 117.000923
Zhengzhou 34.757977 113.665413
Xian 34.263161 108.948021
Wuhan 30.584354 114.298569
Nanjing 32.041546 118.76741
Hefei 31.861191 117.283043
Shanghai 31.231707 121.472641
Changsha 28.19409 112.982277
Nanchang 28.676493 115.892151
Hangzhou 30.287458 120.15358
Fuzhou 26.075302 119.306236
Guangzhou 23.125177 113.28064
Taibei 25.030724 121.520076
Nanning 22.82402 108.320007
Chongqing 29.533155 106.504959
Kunming 25.040609 102.71225
Guiyang 26.578342 106.713478
Chengdu 30.659462 104.065735
Lanzhou 36.06138 103.83417
Xining 36.61729 101.77782
Lasa 29.64415 91.1145
Hongkong 22.27534 114.16546
Aomen 22.19875 113.54913
